ISO3 Code,Area,Area Code,Year,Production,Domestic supply quantity,Import Quantity,Export Quantity,Stock Variation,Source
CMR,Cameroon,32,2006,1.0,325.0,386.0,2.0,60.0,FBS
CMR,Cameroon,32,2007,1.0,325.0,248.0,4.0,-80.0,FBS
CMR,Cameroon,32,2008,1.0,353.0,437.0,4.0,80.0,FBS
CMR,Cameroon,32,2009,1.0,374.0,427.0,4.0,50.0,FBS
CMR,Cameroon,32,2010,1.0,404.0,408.0,5.0,0.0,FBS
CMR,Cameroon,32,2011,1.0,456.0,459.0,4.0,0.0,FBS
COD,Democratic Republic of the Congo,250,2006,8.64,640.621,641.575,9.594,0.0,QCL+TCL
COD,Democratic Republic of the Congo,250,2007,8.69,484.513,503.018,27.195,0.0,QCL+TCL
COD,Democratic Republic of the Congo,250,2008,8.74,389.162,404.485,24.063,0.0,QCL+TCL
COD,Democratic Republic of the Congo,250,2009,8.79,345.828,370.84,33.802,0.0,QCL+TCL
COD,Democratic Republic of the Congo,250,2010,8.841,518.067,552.75,43.525,0.0,QCL+TCL
COD,Democratic Republic of the Congo,250,2011,8.841,608.357,626.958,27.442,0.0,QCL+TCL
COG,Congo,46,2006,0.0,109.0,108.0,0.0,-2.0,FBS
COG,Congo,46,2007,0.0,115.0,96.0,1.0,-20.0,FBS
COG,Congo,46,2008,0.0,119.0,63.0,0.0,-57.0,FBS
COG,Congo,46,2009,0.0,154.0,159.0,5.0,0.0,FBS
COG,Congo,46,2010,0.0,167.0,165.0,5.0,-7.0,FBS
COG,Congo,46,2011,0.0,173.0,228.0,1.0,53.0,FBS
COK,Cook Islands,47,2006,0.0,1.504,1.504,0.0,0.0,QCL+TCL
COK,Cook Islands,47,2007,0.0,1.66,1.66,0.0,0.0,QCL+TCL
COK,Cook Islands,47,2008,0.0,1.24,1.24,0.0,0.0,QCL+TCL
COK,Cook Islands,47,2009,0.0,1.435,1.435,0.0,0.0,QCL+TCL
COK,Cook Islands,47,2010,0.0,1.19,1.19,0.0,0.0,QCL+TCL
COK,Cook Islands,47,2011,0.0,0.83,0.83,0.0,0.0,QCL+TCL
COL,Colombia,44,2006,26.0,1348.0,1376.0,55.0,0.0,FBS
COL,Colombia,44,2007,37.0,1311.0,1330.0,56.0,0.0,FBS
COL,Colombia,44,2008,39.0,1409.0,1425.0,55.0,0.0,FBS
COL,Colombia,44,2009,24.0,1379.0,1404.0,49.0,0.0,FBS
COL,Colombia,44,2010,15.0,1450.0,1483.0,48.0,0.0,FBS
COL,Colombia,44,2011,13.0,1581.0,1604.0,35.0,0.0,FBS
COM,Comoros,45,2006,0.0,9.16,9.16,0.0,0.0,QCL+TCL
COM,Comoros,45,2007,0.0,9.075,9.075,0.0,0.0,QCL+TCL
COM,Comoros,45,2008,0.0,8.626,8.626,0.0,0.0,QCL+TCL
COM,Comoros,45,2009,0.0,9.83,9.83,0.0,0.0,QCL+TCL
COM,Comoros,45,2010,0.0,10.09,10.09,0.0,0.0,QCL+TCL
COM,Comoros,45,2011,0.0,10.453,10.453,0.0,0.0,QCL+TCL
CPV,Cabo Verde,35,2006,0.0,25.0,27.0,3.0,-1.0,FBS
CPV,Cabo Verde,35,2007,0.0,26.0,28.0,0.0,1.0,FBS
CPV,Cabo Verde,35,2008,0.0,30.0,33.0,0.0,4.0,FBS
CPV,Cabo Verde,35,2009,0.0,30.0,32.0,0.0,3.0,FBS
CPV,Cabo Verde,35,2010,0.0,29.0,27.0,0.0,-2.0,FBS
CPV,Cabo Verde,35,2011,0.0,29.0,26.0,0.0,-2.0,FBS
