area_code,area,year,unit,domestic_supply,exports,feed,food,imports,losses,production,seed,stock_variation
131,Malaysia,2010,1000 t,1559.0,260.0,30.0,1477.0,1449.0,,,,370.0
131,Malaysia,2011,1000 t,1585.0,302.0,30.0,1506.0,1526.0,,,,360.0
132,Maldives,2006,1000 t,27.0,0.0,,21.0,29.0,0.0,,,-1.0
132,Maldives,2007,1000 t,30.0,0.0,,21.0,31.0,0.0,,,-1.0
132,Maldives,2008,1000 t,29.0,0.0,,23.0,33.0,0.0,,,-4.0
132,Maldives,2009,1000 t,29.0,0.0,,23.0,29.0,0.0,,,0.0
132,Maldives,2010,1000 t,31.0,0.0,,24.0,32.0,0.0,,,-1.0
132,Maldives,2011,1000 t,33.0,0.0,,26.0,35.0,0.0,,,-1.0
133,Mali,2006,1000 t,132.0,0.0,,128.0,224.0,4.0,9.0,0.0,-100.0
133,Mali,2007,1000 t,123.0,3.0,,121.0,117.0,2.0,9.0,0.0,0.0
133,Mali,2008,1000 t,119.0,3.0,,117.0,82.0,2.0,13.0,0.0,27.0
133,Mali,2009,1000 t,159.0,0.0,,155.0,158.0,3.0,15.0,1.0,-15.0
133,Mali,2010,1000 t,166.0,0.0,,162.0,182.0,4.0,24.0,1.0,-40.0
133,Mali,2011,1000 t,169.0,0.0,,165.0,155.0,3.0,34.0,1.0,-21.0
134,Malta,2006,1000 t,62.0,2.0,,59.0,32.0,2.0,11.0,0.0,22.0
134,Malta,2007,1000 t,65.0,2.0,,62.0,64.0,3.0,12.0,0.0,-9.0
134,Malta,2008,1000 t,62.0,18.0,,57.0,52.0,2.0,15.0,0.0,13.0
134,Malta,2009,1000 t,62.0,3.0,,57.0,51.0,2.0,14.0,0.0,0.0
134,Malta,2010,1000 t,66.0,2.0,,61.0,45.0,2.0,16.0,0.0,8.0
134,Malta,2011,1000 t,69.0,3.0,,62.0,62.0,2.0,14.0,0.0,-4.0
136,Mauritania,2006,1000 t,316.0,0.0,,301.0,275.0,15.0,1.0,0.0,39.0
136,Mauritania,2007,1000 t,370.0,0.0,,353.0,315.0,17.0,2.0,0.0,53.0
136,Mauritania,2008,1000 t,376.0,0.0,,358.0,320.0,18.0,4.0,0.0,51.0
