h,a,b,abs_cos,norm_a,norm_b,both_active,sign
0.1,trade_w,foresight_phi,0.5650665677884951,4.517799684530213,2.0004328241706433,True,-1
0.1,trade_w,harvest_pulse_frac,0.22725925530046134,4.517799684530213,1.6175649251524644,True,-1
0.1,trade_w,residual_subst,0.3351787444073487,4.517799684530213,0.3767320171620617,True,-1
0.1,unmet_kappa,block_kappa,0.6552470181951325,0.38235103650356833,0.7322390676685374,True,-1
0.1,unmet_kappa,ask_alpha,0.9189031014392469,0.38235103650356833,2.182261306388347,True,1
0.1,unmet_kappa,ask_target_fill,0.8175438578208784,0.38235103650356833,2.233396141790155,True,1
0.1,unmet_kappa,ask_comp_elast,0.0,0.38235103650356833,0.0,False,1
0.1,unmet_kappa,ask_beta,0.480789461801524,0.38235103650356833,0.4583430835135448,True,-1
0.1,unmet_kappa,ask_rival,0.6764243386491218,0.38235103650356833,2.2108487903270206,True,-1
0.1,unmet_kappa,foresight_phi,0.7791877241081434,0.38235103650356833,2.0004328241706433,True,1
0.1,unmet_kappa,harvest_pulse_frac,0.3426617771875899,0.38235103650356833,1.6175649251524644,True,1
0.1,unmet_kappa,residual_subst,0.17003649885549083,0.38235103650356833,0.3767320171620617,True,-1
0.1,block_kappa,ask_alpha,0.8197503442565007,0.7322390676685374,2.182261306388347,True,-1
0.1,block_kappa,ask_target_fill,0.8252964535702739,0.7322390676685374,2.233396141790155,True,-1
0.1,block_kappa,ask_comp_elast,0.0,0.7322390676685374,0.0,False,1
0.1,block_kappa,ask_beta,0.20353260519891475,0.7322390676685374,0.4583430835135448,True,1
0.1,block_kappa,ask_rival,0.9885266903538026,0.7322390676685374,2.2108487903270206,True,1
0.1,block_kappa,foresight_phi,0.7732738902740401,0.7322390676685374,2.0004328241706433,True,-1
0.1,block_kappa,harvest_pulse_frac,0.23312836606496376,0.7322390676685374,1.6175649251524644,True,-1
0.1,block_kappa,residual_subst,0.22137894715790993,0.7322390676685374,0.3767320171620617,True,-1
0.1,ask_alpha,ask_target_fill,0.9609135726342063,2.182261306388347,2.233396141790155,True,1
0.1,ask_alpha,ask_comp_elast,0.0,2.182261306388347,0.0,False,1
0.1,ask_alpha,ask_beta,0.43534107430051916,2.182261306388347,0.4583430835135448,True,-1
0.1,ask_alpha,ask_rival,0.8299338544496438,2.182261306388347,2.2108487903270206,True,-1
0.1,ask_alpha,foresight_phi,0.758374865610135,2.182261306388347,2.0004328241706433,True,1
0.1,ask_alpha,harvest_pulse_frac,0.1828756498673916,2.182261306388347,1.6175649251524644,True,1
0.1,ask_alpha,residual_subst,0.04473423718502945,2.182261306388347,0.3767320171620617,True,-1
0.1,ask_target_fill,ask_comp_elast,0.0,2.233396141790155,0.0,False,1
0.1,ask_target_fill,ask_beta,0.34839864725643144,2.233396141790155,0.4583430835135448,True,-1
0.1,ask_target_fill,ask_rival,0.8505413376352943,2.233396141790155,2.2108487903270206,True,-1
0.1,ask_target_fill,foresight_phi,0.7300067793651207,2.233396141790155,2.0004328241706433,True,1
0.1,ask_target_fill,harvest_pulse_frac,0.0900638793111006,2.233396141790155,1.6175649251524644,True,1
0.1,ask_target_fill,residual_subst,0.16069796068725953,2.233396141790155,0.3767320171620617,True,-1
0.1,ask_comp_elast,ask_beta,0.0,0.0,0.4583430835135448,False,1
0.1,ask_comp_elast,ask_rival,0.0,0.0,2.2108487903270206,False,1
0.1,ask_comp_elast,foresight_phi,0.0,0.0,2.0004328241706433,False,1
0.1,ask_comp_elast,harvest_pulse_frac,0.0,0.0,1.6175649251524644,False,1
0.1,ask_comp_elast,residual_subst,0.0,0.0,0.3767320171620617,False,1
0.1,ask_beta,ask_rival,0.21212909736900576,0.4583430835135448,2.2108487903270206,True,1
0.1,ask_beta,foresight_phi,0.13984869224236915,0.4583430835135448,2.0004328241706433,True,-1
0.1,ask_beta,harvest_pulse_frac,0.010969060851712158,0.4583430835135448,1.6175649251524644,True,1
0.1,ask_beta,residual_subst,0.19109639137842813,0.4583430835135448,0.3767320171620617,True,1
0.1,ask_rival,foresight_phi,0.7726493653355601,2.2108487903270206,2.0004328241706433,True,-1
0.1,ask_rival,harvest_pulse_frac,0.1864991351534819,2.2108487903270206,1.6175649251524644,True,-1
0.1,ask_rival,residual_subst,0.17109612130390364,2.2108487903270206,0.3767320171620617,True,-1
0.1,foresight_phi,harvest_pulse_frac,0.613060227433948,2.0004328241706433,1.6175649251524644,True,1
0.1,foresight_phi,residual_subst,0.147349368393726,2.0004328241706433,0.3767320171620617,True,-1
