scenario,region,year,field,model,usda
undisturbed,China,2008,production,112.72966666666669,112.901
undisturbed,China,2009,production,112.72966666666669,115.796
undisturbed,China,2010,production,112.72966666666669,116.093
undisturbed,China,2011,production,112.72966666666669,118.57000000000001
undisturbed,EU-27,2006,consumption,90.41741470833983,126.182
undisturbed,EU-27,2007,consumption,93.8932734766298,117.151
undisturbed,EU-27,2008,consumption,87.30084636449673,127.627
undisturbed,EU-27,2009,consumption,107.94110802670563,125.1
undisturbed,EU-27,2010,consumption,59.073374047806006,121.825
undisturbed,EU-27,2011,consumption,83.65118827637957,126.734
undisturbed,EU-27,2006,ending_stocks,14.532046459998456,14.791
undisturbed,EU-27,2007,ending_stocks,2.7292769293664363,12.846
undisturbed,EU-27,2008,ending_stocks,26.23013576440432,19.419
undisturbed,EU-27,2009,ending_stocks,1.4017519613476788,17.104
undisturbed,EU-27,2010,ending_stocks,1.4753322021844872,13.481
undisturbed,EU-27,2011,ending_stocks,38.58470913979352,15.563
undisturbed,EU-27,2006,production,137.4916666666667,125.67
undisturbed,EU-27,2007,production,137.4916666666667,120.833
undisturbed,EU-27,2008,production,137.4916666666667,151.922
undisturbed,EU-27,2009,production,137.4916666666667,139.72
undisturbed,EU-27,2010,production,137.4916666666667,136.667
undisturbed,EU-27,2011,production,137.4916666666667,138.18200000000002
undisturbed,Eastern Africa,2006,consumption,7.064417439227297,5.743
undisturbed,Eastern Africa,2007,consumption,6.880136264557942,5.229
undisturbed,Eastern Africa,2008,consumption,6.876816990528397,6.745
undisturbed,Eastern Africa,2009,consumption,6.966032271469747,7.691000000000001
undisturbed,Eastern Africa,2010,consumption,5.764604782349943,7.649999999999999
undisturbed,Eastern Africa,2011,consumption,6.471183722367977,8.766
undisturbed,Eastern Africa,2006,ending_stocks,3.628808446024737,0.531
undisturbed,Eastern Africa,2007,ending_stocks,3.545355792420713,0.345
undisturbed,Eastern Africa,2008,ending_stocks,3.222818763801025,0.354
undisturbed,Eastern Africa,2009,ending_stocks,1.979299491095717,0.959
undisturbed,Eastern Africa,2010,ending_stocks,2.8459293613408976,0.368
undisturbed,Eastern Africa,2011,ending_stocks,1.3228107653166978,0.686
undisturbed,Eastern Africa,2006,production,3.3143333333333334,3.235
undisturbed,Eastern Africa,2007,production,3.3143333333333334,2.9170000000000003
undisturbed,Eastern Africa,2008,production,3.3143333333333334,3.0719999999999996
undisturbed,Eastern Africa,2009,production,3.3143333333333334,3.9539999999999997
undisturbed,Eastern Africa,2010,production,3.3143333333333334,3.541
