crop,year,country,my_month,model_stock,model_cons,psd_stock,psd_cons,stock_ratio,cons_ratio,psd_dstock,model_dstock,psd_dcons,model_dcons
rice,2010,RestOfWorld,8,20.722358780693952,103.27663055895374,14.40400000000001,123.85399999999993,1.4386530672517313,0.8338578532704135,-1.2971140796263043,-0.3324691140152362,2.1461492356341276,-0.42221436674260954
rice,2011,RestOfWorld,8,21.189593758519052,103.70129678560903,13.11999999999999,129.10499999999996,1.615060499887124,0.8032322279199804,-1.061500623480069,0.3862696419571904,4.341074590259961,0.35107746445912136
rice,2006,Russia,8,0.0,0.5473533453819907,0.069,0.6890000000000001,,0.794417046998535,,,,
rice,2007,Russia,8,0.0014649582554585074,0.5345273400116267,0.069,0.676,,0.7907209171769626,0.0,0.21946940156681755,-1.9475655430711625,-1.9214989318897278
rice,2008,Russia,8,0.0006444524710639554,0.5131614314004225,0.049,0.64,,0.80181473656316,-2.9962546816479403,-0.12292221489056956,-5.393258426966296,-3.2008851851991373
rice,2009,Russia,8,0.0006461918492555348,0.5178560442799007,0.055,0.67,,0.7729194690744786,0.8988764044943816,0.00026058100248379764,4.494382022471913,0.7033127909330718
rice,2010,Russia,8,0.0,0.5308236968466338,0.091,0.68,,0.7806230835979908,5.393258426966291,-0.09680776767873178,1.498127340823971,1.9427194856528904
rice,2011,Russia,8,0.0008121169743494014,0.5430664061162516,0.027,0.65,,0.835486778640387,-9.588014981273407,0.12166546432200767,-4.494382022471913,1.8341137482573469
rice,2006,Thailand,12,4.214630304299972,9.920644678822281,2.5100000000000002,9.78,1.6791355794023792,1.0143808465053459,,,,
rice,2007,Thailand,12,4.340775802728453,9.293556029251814,2.707,9.6,1.6035374225077406,0.968078753047064,1.977249916359983,1.2660973412025516,-1.8066242890598834,-6.2939643650431645
rice,2008,Thailand,12,5.850583281561241,8.506644467398667,4.787,9.5,1.2221815921372972,0.8954362597261755,20.876547340247576,15.153638128131028,-1.0036801605888221,-7.898075227699702
rice,2009,Thailand,12,5.874222242905947,8.548782951394086,6.1000000000000005,10.200000000000001,0.9629872529354011,0.8381159756268711,13.178320508531288,0.23725956518607674,7.02576112412179,0.4229356038349211
rice,2010,Thailand,12,5.816933650726804,8.506716326654297,5.615,10.3,1.0359632503520575,0.8258947889955628,-4.867848778855808,-0.5749942339827072,1.0036801605888221,-0.4222143667426124
rice,2011,Thailand,12,9.760091606736895,8.541695344696574,9.33,10.4,1.046097707045755,0.8213168600669782,37.28671796587488,39.57669410515314,1.0036801605888221,0.3510774644591189
rice,2006,USA,7,0.0,3.924104357842299,1.266,4.101,0.0,0.9568652420976101,,,,
rice,2007,USA,7,0.0,3.5107647507898188,0.935,4.042,0.0,0.868571190200351,-8.25436408977556,0.0,-1.4713216957606023,-10.30772087412669
rice,2008,USA,7,0.0,3.3952516704015583,0.977,4.082,0.0,0.83176180068632,1.0473815461346614,0.0,0.9975062344139658,-2.8806254460912832
rice,2009,USA,7,0.07770786106766236,3.4406777820431875,1.184,4.014,0.06563163941525538,0.8571693527760805,5.162094763092267,1.9378518969491858,-1.695760598503731,1.132820739192749
rice,2010,USA,7,0.18316586767843918,3.423746985936809,1.514,4.329,0.12098141854586471,0.7908863446377475,8.229426433915213,2.629875476577975,7.855361596009962,-0.42221436674260554
rice,2011,USA,7,0.1876617689509348,3.437825192261619,1.303,3.492,0.14402284647040278,0.984486022984427,-5.2618453865336665,0.11211723871560181,-20.87281795511221,0.3510774644591062
rice,2006,Ukraine,8,0.0,0.09810041235429956,0.0,0.146,,,,,,
rice,2007,Ukraine,8,0.0,0.09635285944349277,0.0,0.14,,,,,,
rice,2008,Ukraine,8,0.0,0.09518027854237435,0.0,0.146,,,,,,
rice,2009,Ukraine,8,0.0,0.0940247093897193,0.0,0.167,,,,,,
rice,2010,Ukraine,8,0.0,0.09856811923037712,0.0,0.154,,,,,,
rice,2011,Ukraine,8,0.0,0.09807540034085938,0.0,0.138,,,,,,
rice,2006,Vietnam,12,9.418816028482485,17.631360880957757,1.3920000000000001,18.775000000000002,6.766390825059256,0.9390871308100003,,,,
rice,2007,Vietnam,12,11.043132539155842,16.545264309442103,2.0180000000000002,19.400000000000002,5.472315430701606,0.8528486757444382,3.255471289274107,8.447149784650174,3.2502708559046587,-5.648172852952479
rice,2008,Vietnam,12,10.695730679472007,16.41776690241086,1.961,19.0,5.4542226820357,0.8640929948637295,-0.2964247020585057,-1.8066402237079167,-2.0801733477789925,-0.6630417700432977
rice,2009,Vietnam,12,10.641650583108653,16.334388291606732,1.47,19.150000000000002,7.239218083747383,0.8529706679690199,-2.5534127843987,-0.2812399377509182,0.7800650054171292,-0.4336049099239633
rice,2010,Vietnam,12,10.91300557181921,16.28458917763983,1.941,19.400000000000002,5.622362479041325,0.8394118132804035,2.449404117009751,1.4111635382564203,1.3001083423618633,-0.2589769740423931
rice,2011,Vietnam,12,11.476813640992225,16.41642575675353,1.826,19.650000000000002,6.285221052022028,0.8354415143386019,-0.5980498374864571,2.9320462968910794,1.3001083423618633,0.6856073453366798
