year,month,grain,model_price,subst_scale,leg,obs_price
2011,7,wheat,202.25941167155577,0.0,subst_off,273.6349035725577
2011,8,wheat,203.96805552463704,0.0,subst_off,294.5244388239014
2011,9,wheat,203.94575502928524,0.0,subst_off,284.43983559911476
2011,10,wheat,203.58912040238914,0.0,subst_off,260.2187796395827
2011,11,wheat,203.3441905713516,0.0,subst_off,253.01549162187797
2011,12,wheat,203.33829246094913,0.0,subst_off,242.21055959532092
2006,1,rice,348.3780202824171,0.0,subst_off,323.87897671367665
2006,2,rice,353.25769636324014,0.0,subst_off,335.21974417841915
2006,3,rice,351.3962115451896,0.0,subst_off,337.4434240734667
2006,4,rice,358.39683758306296,0.0,subst_off,336.1092161364382
2006,5,rice,351.6088500361178,0.0,subst_off,342.44670383732375
2006,6,rice,350.19704345977243,0.0,subst_off,347.44998360118075
2006,7,rice,346.2405565306962,0.0,subst_off,350.67431944899965
2006,8,rice,386.04284256169535,0.0,subst_off,347.6723515906855
2006,9,rice,394.61097639254905,0.0,subst_off,343.78091177435226
2006,10,rice,373.0521874926468,0.0,subst_off,334.66382420465726
2006,11,rice,365.1566222087221,0.0,subst_off,329.43817645129553
2006,12,rice,374.57910946805237,0.0,subst_off,339.1111839947524
2007,1,rice,829.2121049665973,0.0,subst_off,328.0554534313726
2007,2,rice,764.4843915963074,0.0,subst_off,330.15165441176475
2007,3,rice,562.5502913445362,0.0,subst_off,334.02962622549023
2007,4,rice,453.9546186537036,0.0,subst_off,331.7238051470589
2007,5,rice,396.62646106490604,0.0,subst_off,332.8767156862746
2007,6,rice,411.46965919969233,0.0,subst_off,338.85088848039226
2007,7,rice,404.834694385125,0.0,subst_off,344.61544117647065
2007,8,rice,370.35064814346407,0.0,subst_off,343.25291053921575
2007,9,rice,354.3476330619933,0.0,subst_off,340.6326593137256
2007,10,rice,348.10472686797493,0.0,subst_off,345.0346813725491
2007,11,rice,346.3404851403724,0.0,subst_off,358.4503676470589
2007,12,rice,348.32269964761053,0.0,subst_off,378.04984681372554
2008,1,rice,682.4828114191398,0.0,subst_off,365.2597354660104
2008,2,rice,1096.7603078427019,0.0,subst_off,452.00406028914176
2008,3,rice,819.0394580210589,0.0,subst_off,577.6471854813902
2008,4,rice,570.5104349313374,0.0,subst_off,882.0302983697322
2008,5,rice,448.07019630541816,0.0,subst_off,876.973454321747
2008,6,rice,387.15889946191703,0.0,subst_off,736.1597969855428
2008,7,rice,356.179311373009,0.0,subst_off,711.653552752999
2008,8,rice,341.56019339458703,0.0,subst_off,674.4079513995692
2008,9,rice,336.4261024254455,0.0,subst_off,664.9749923100583
2008,10,rice,335.26463116658067,0.0,subst_off,592.5259766225776
2008,11,rice,334.8011521342723,0.0,subst_off,536.8034450938172
2008,12,rice,332.8445436175002,0.0,subst_off,517.159550907413
2009,1,rice,329.12682212158467,0.0,subst_off,601.3189189189189
2009,2,rice,326.9451075166829,0.0,subst_off,612.5158918918919
2009,3,rice,326.2980834229172,0.0,subst_off,609.924
2009,4,rice,327.1460008035001,0.0,subst_off,569.9051891891893
2009,5,rice,328.0982030854875,0.0,subst_off,552.5913513513514
2009,6,rice,328.2322486252403,0.0,subst_off,595.6167567567568
2009,7,rice,327.53849451590315,0.0,subst_off,593.0248648648649
2009,8,rice,327.69123622271115,0.0,subst_off,545.6450810810811
2009,9,rice,329.46267279068985,0.0,subst_off,537.8694054054054
2009,10,rice,331.70267744634896,0.0,subst_off,511.1210810810811
2009,11,rice,333.2439781893549,0.0,subst_off,562.7515675675676
2009,12,rice,333.08210812608894,0.0,subst_off,612.7232432432432
2010,1,rice,330.88446605400463,0.0,subst_off,568.8
2010,2,rice,329.4596598910249,0.0,subst_off,535.0
2010,3,rice,329.00595161568947,0.0,subst_off,502.2
2010,4,rice,329.60349454054165,0.0,subst_off,466.0
2010,5,rice,330.29393739761434,0.0,subst_off,451.3
2010,6,rice,330.36198882463515,0.0,subst_off,440.0
2010,7,rice,329.7860535488505,0.0,subst_off,441.8
2010,8,rice,329.47176614736406,0.0,subst_off,452.8
2010,9,rice,331.19827476451724,0.0,subst_off,476.5
2010,10,rice,332.7746113873688,0.0,subst_off,486.0
2010,11,rice,333.64736141024946,0.0,subst_off,514.5
2010,12,rice,332.40970985538513,0.0,subst_off,532.0
2011,1,rice,328.8287851124516,0.0,subst_off,465.4055248618784
2011,2,rice,326.6833425598881,0.0,subst_off,471.88950276243094
2011,3,rice,326.05244829905405,0.0,subst_off,443.7922651933702
2011,4,rice,326.7708960459104,0.0,subst_off,436.1375690607735
2011,5,rice,327.67310788518677,0.0,subst_off,433.5259668508287
2011,6,rice,327.78546379367253,0.0,subst_off,462.7038674033149
2011,7,rice,326.9924925570914,0.0,subst_off,484.7674033149171
2011,8,rice,326.60867763029296,0.0,subst_off,509.71270718232046
2011,9,rice,328.6001316076014,0.0,subst_off,539.2508287292817
2011,10,rice,330.2930206545144,0.0,subst_off,539.7911602209945
2011,11,rice,331.1538699862685,0.0,subst_off,554.1099447513812
2011,12,rice,331.45087178804283,0.0,subst_off,527.5436464088398
2006,1,maize,138.67562358579943,0.0,subst_off,114.15791632485644
2006,2,maize,141.14603209346853,0.0,subst_off,119.04881050041016
2006,3,maize,142.2784634937712,0.0,subst_off,117.04799015586543
2006,4,maize,142.63265031230782,0.0,subst_off,119.7157506152584
2006,5,maize,141.77435705637356,0.0,subst_off,122.93929450369151
2006,6,maize,141.06779453599108,0.0,subst_off,121.60541427399508
2006,7,maize,140.23316258452638,0.0,subst_off,126.71862182116487
