year,month,model_price,world_stock,obs_price,grain,subst_scale,leg
2023,2,420.77422579495203,75.19764798584099,431.1331045692613,rice,0.6,shocks
2023,3,439.6914729962599,41.320545934348104,417.1125158027813,rice,0.6,shocks
2023,4,447.52191017306757,24.922714904334512,439.0196857504063,rice,0.6,shocks
2023,5,450.6699729236575,20.18482264111693,446.9062669315514,rice,0.6,shocks
2023,6,460.0954880786752,22.80060807736053,450.41141412317137,rice,0.6,shocks
2023,7,473.8509534358435,38.674642445101256,479.3288784540365,rice,0.6,shocks
2023,8,464.5202507299639,74.49609395167099,556.4421166696767,rice,0.6,shocks
2023,9,436.64457044630893,126.83686150758567,543.2978147011016,rice,0.6,shocks
2023,10,413.53571383990203,170.88556319342263,517.0092107639515,rice,0.6,shocks
2023,11,388.4391038663225,177.72712862235525,524.0195051471916,rice,0.6,shocks
2023,12,359.44615345218205,156.2095687487478,564.3286978508216,rice,0.6,shocks
2021,1,424.1712298848888,113.828437262772,498.1464106480471,rice,0.6,tau
2021,2,429.118764492527,72.26707289696921,509.1147719834169,rice,0.6,tau
2021,3,442.6452403247035,42.16205211127472,479.8658084224307,rice,0.6,tau
2021,4,458.17208177724024,30.009059502480756,452.44490508400605,rice,0.6,tau
2021,5,464.18365669779143,25.30101291225054,450.6168448614444,rice,0.6,tau
2021,6,475.2181406256652,27.245120420458402,425.93803185686227,rice,0.6,tau
2021,7,490.1888434679588,42.10818004999449,378.4084660702597,rice,0.6,tau
2021,8,497.040322243251,76.49918139946791,368.3541348461706,rice,0.6,tau
2021,9,462.0724563010559,127.43562289928458,365.6120445123281,rice,0.6,tau
2021,10,452.4122322283231,170.08613634312636,366.52607462360896,rice,0.6,tau
2021,11,424.73300502640325,175.85445950152166,365.6120445123281,rice,0.6,tau
2021,12,458.45219000363466,154.54123076956432,365.6120445123281,rice,0.6,tau
2022,1,517.2997841240905,115.49935155956734,363.5560897435897,rice,0.6,tau
2022,2,560.5109364647553,75.373223485666,363.5560897435897,rice,0.6,tau
2022,3,568.4700348773408,41.69235989547952,359.29899267399264,rice,0.6,tau
2022,4,552.185370439369,25.701564811991577,366.9617673992674,rice,0.6,tau
